# Dataset "Data 0" exported from GenX on Thu Jan 17 17:19:11 2019
# Column lables:
# x	I_simulated	I	error(I)
4.000000000000000083e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-03 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000025e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000050e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000058e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000067e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000422e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000777e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.399999999999999745e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000100e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000455e-02 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000810e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999778e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000133e-02 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.800000000000000488e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000844e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.600000000000001199e-02 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 1.000000000000000444e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.400000000000000522e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000877e-02 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.199999999999999845e-02 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.600000000000000200e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000091e-01 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.080000000000000127e-01 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.120000000000000023e-01 9.999999999999995559e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.160000000000000059e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000094e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.239999999999999991e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.280000000000000027e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.320000000000000062e-01 1.000000000000000444e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.360000000000000098e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000133e-01 9.999999999999997780e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.440000000000000169e-01 9.999995577149169979e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.480000000000000204e-01 9.999985375221198680e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.519999999999999962e-01 9.999975112711111391e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.559999999999999998e-01 9.999962179233763404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000033e-01 9.999945065233042385e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.640000000000000069e-01 9.999921932026037963e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.680000000000000104e-01 9.999890247579787950e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.720000000000000140e-01 9.999846394505853553e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.760000000000000175e-01 9.999785106529313072e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.799999999999999933e-01 9.999698604034509275e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.839999999999999969e-01 9.999575232666197966e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.880000000000000004e-01 9.999397277134275397e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.920000000000000040e-01 9.999137382913699801e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.960000000000000075e-01 9.998752578856452411e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 9.998174066383890279e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.040000000000000147e-01 9.997289337724348801e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.080000000000000182e-01 9.995909974085964711e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.120000000000000218e-01 9.993711795207054216e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.159999999999999976e-01 9.990119535370836079e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000011e-01 9.984075190178278714e-01 0.000000000000000000e+00 0.000000000000000000e+00
